Syukuro Manabe,physics,2021,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
Klaus Hasselmann,physics,2021,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
Giorgio Parisi,physics,2021,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales
Benjamin List,chemistry,2021,for the development of asymmetric organocatalysis
David MacMillan,chemistry,2021,for the development of asymmetric organocatalysis
David Julius,medicine,2021,for their discoveries of receptors for temperature and touch
Ardem Patapoutian,medicine,2021,for their discoveries of receptors for temperature and touch
Abdulrazak Gurnah,literature,2021,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents
Maria Ressa,peace,2021,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
Dmitry Muratov,peace,2021,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
David Card,economic-sciences,2021,for his empirical contributions to labour economics
Joshua D. Angrist,economic-sciences,2021,for their methodological contributions to the analysis of causal relationships
Guido W. Imbens,economic-sciences,2021,for their methodological contributions to the analysis of causal relationships
Roger Penrose,physics,2020,for the discovery that black hole formation is a robust prediction of the general theory of relativity
Reinhard Genzel,physics,2020,for the discovery of a supermassive compact object at the centre of our galax
Andrea Ghez,physics,2020,for the discovery of a supermassive compact object at the centre of our galax
Emmanuelle Charpentier,chemistry,2020,for the development of a method for genome editing
Jennifer A. Doudna,chemistry,2020,for the development of a method for genome editing
Harvey J. Alter,medicine,2020,for the discovery of Hepatitis C virus”
Michael Houghton,medicine,2020,for the discovery of Hepatitis C virus”
Charles M. Rice,medicine,2020,for the discovery of Hepatitis C virus”
Louise Glück,literature,2020,for her unmistakable poetic voice that with austere beauty makes individual existence universal”
World Food Programme (WFP),peace,2020,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict"
Paul R. Milgrom,economics,2020,for improvements to auction theory and inventions of new auction formats
Robert B. Wilson,economics,2020,for improvements to auction theory and inventions of new auction formats
