id,name,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
1,God's Plan,0.754,0.449,-9.211,0.109,0.0332,0.552,0.357,77.169,198973,4
2,SAD!,0.74,0.613,-4.88,0.145,0.258,0.123,0.473,75.023,166606,4
3,rockstar (feat. 21 Savage),0.587,0.535,-6.09,0.0898,0.117,0.131,0.14,159.847,218147,4
4,Psycho (feat. Ty Dolla $ign),0.739,0.559,-8.011,0.117,0.58,0.112,0.439,140.124,221440,4
5,In My Feelings,0.835,0.626,-5.833,0.125,0.0589,0.396,0.35,91.03,217925,4
6,Better Now,0.68,0.563,-5.843,0.0454,0.354,0.136,0.374,145.028,231267,4
7,I Like It,0.816,0.726,-3.998,0.129,0.099,0.372,0.65,136.048,253390,4
8,One Kiss (with Dua Lipa),0.791,0.862,-3.24,0.11,0.037,0.0814,0.592,123.994,214847,4
9,IDGAF,0.836,0.544,-5.975,0.0943,0.0403,0.0824,0.51,97.028,217947,4
10,FRIENDS,0.626,0.88,-2.384,0.0504,0.205,0.128,0.534,95.079,202621,4
11,Havana,0.765,0.523,-4.333,0.03,0.184,0.132,0.394,104.988,217307,4
12,Lucid Dreams,0.511,0.566,-7.23,0.2,0.349,0.34,0.218,83.903,239836,4
13,Nice For What,0.586,0.909,-6.474,0.0705,0.0891,0.119,0.757,93.394,210747,4
14,Girls Like You (feat. Cardi B),0.851,0.541,-6.825,0.0505,0.568,0.13,0.448,124.959,235545,4
15,The Middle,0.753,0.657,-3.061,0.0449,0.171,0.112,0.437,107.01,184732,4
16,All The Stars (with SZA),0.698,0.633,-4.946,0.0597,0.0605,0.0926,0.552,96.924,232187,4
17,no tears left to cry,0.699,0.713,-5.507,0.0594,0.04,0.294,0.354,121.993,205920,4
18,X,0.595,0.773,-4.736,0.0549,0.0364,0.334,0.711,180.073,173628,4
19,Moonlight,0.921,0.537,-5.723,0.0804,0.556,0.102,0.711,128.009,135090,4
20,Look Alive (feat. Drake),0.922,0.581,-7.495,0.27,0.00104,0.105,0.595,140.022,181263,4
21,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.653,0.809,-4.057,0.0474,0.194,0.165,0.55,92.213,210773,4
